label,feature,mean,median,std,min,max,null_pct
icmp_flood,protocol,16.737705,17.0,2.04859,1.0,17.0,0.0
normal,protocol,8.96124,6.0,6.375494,6.0,58.0,0.0
port_sweep,protocol,7.418605,6.0,3.977512,1.0,17.0,0.0
syn_scan,protocol,6.0,6.0,0.0,6.0,6.0,0.0
udp_scan,protocol,17.0,17.0,0.0,17.0,17.0,0.0
icmp_flood,bidirectional_duration_ms,0.016393,0.0,0.128037,0.0,1.0,0.0
normal,bidirectional_duration_ms,0.782946,1.0,0.413847,0.0,1.0,0.0
port_sweep,bidirectional_duration_ms,0.209302,0.0,0.411625,0.0,1.0,0.0
syn_scan,bidirectional_duration_ms,0.023256,0.0,0.151302,0.0,1.0,0.0
udp_scan,bidirectional_duration_ms,0.0,0.0,0.0,0.0,0.0,0.0
icmp_flood,bidirectional_packets,1.016393,1.0,0.128037,1.0,2.0,0.0
normal,bidirectional_packets,1.992248,2.0,0.088045,1.0,2.0,0.0
port_sweep,bidirectional_packets,2.0,2.0,0.0,2.0,2.0,0.0
syn_scan,bidirectional_packets,2.0,2.0,0.0,2.0,2.0,0.0
udp_scan,bidirectional_packets,1.0,1.0,0.0,1.0,1.0,0.0
icmp_flood,bidirectional_bytes,78.262295,88.0,14.771483,66.0,154.0,0.0
normal,bidirectional_bytes,153.968992,154.0,0.35218,150.0,154.0,0.0
port_sweep,bidirectional_bytes,121.767442,112.0,17.953428,112.0,154.0,0.0
syn_scan,bidirectional_bytes,112.0,112.0,0.0,112.0,112.0,0.0
udp_scan,bidirectional_bytes,42.612403,42.0,4.899474,42.0,82.0,0.0
icmp_flood,src2dst_packets,1.0,1.0,0.0,1.0,1.0,0.0
normal,src2dst_packets,1.0,1.0,0.0,1.0,1.0,0.0
port_sweep,src2dst_packets,1.0,1.0,0.0,1.0,1.0,0.0
syn_scan,src2dst_packets,1.0,1.0,0.0,1.0,1.0,0.0
udp_scan,src2dst_packets,1.0,1.0,0.0,1.0,1.0,0.0
icmp_flood,dst2src_packets,0.016393,0.0,0.128037,0.0,1.0,0.0
normal,dst2src_packets,0.992248,1.0,0.088045,0.0,1.0,0.0
port_sweep,dst2src_packets,0.837209,1.0,0.373544,0.0,1.0,0.0
syn_scan,dst2src_packets,1.0,1.0,0.0,1.0,1.0,0.0
udp_scan,dst2src_packets,0.0,0.0,0.0,0.0,0.0,0.0
icmp_flood,src2dst_bytes,77.57377,88.0,11.877793,66.0,112.0,0.0
normal,src2dst_bytes,108.581395,112.0,6.272083,96.0,112.0,0.0
port_sweep,src2dst_bytes,70.55814,58.0,23.082979,58.0,112.0,0.0
syn_scan,src2dst_bytes,58.0,58.0,0.0,58.0,58.0,0.0
udp_scan,src2dst_bytes,42.612403,42.0,4.899474,42.0,82.0,0.0
icmp_flood,dst2src_bytes,0.885246,0.0,6.913992,0.0,54.0,0.0
