column,dtype,non_null_count,null_count,null_pct,example_value
id,int64,60120,0,0.0,0
expiration_id,int64,60120,0,0.0,0
src_ip,object,60120,0,0.0,127.0.0.1
src_mac,object,60120,0,0.0,02:00:00:00:00:01
src_oui,object,60120,0,0.0,02:00:00
src_port,int64,60120,0,0.0,41525
dst_ip,object,60120,0,0.0,127.0.0.11
dst_mac,object,60120,0,0.0,02:00:00:00:00:02
dst_oui,object,60120,0,0.0,02:00:00
dst_port,int64,60120,0,0.0,46281
protocol,int64,60120,0,0.0,17
ip_version,int64,60120,0,0.0,4
vlan_id,int64,60120,0,0.0,0
tunnel_id,int64,60120,0,0.0,0
bidirectional_first_seen_ms,int64,60120,0,0.0,1779715649056
bidirectional_last_seen_ms,int64,60120,0,0.0,1779715649056
bidirectional_duration_ms,int64,60120,0,0.0,0
bidirectional_packets,int64,60120,0,0.0,2
bidirectional_bytes,int64,60120,0,0.0,132
src2dst_first_seen_ms,int64,60120,0,0.0,1779715649056
src2dst_last_seen_ms,int64,60120,0,0.0,1779715649056
src2dst_duration_ms,int64,60120,0,0.0,0
src2dst_packets,int64,60120,0,0.0,2
src2dst_bytes,int64,60120,0,0.0,132
dst2src_first_seen_ms,int64,60120,0,0.0,0
dst2src_last_seen_ms,int64,60120,0,0.0,0
dst2src_duration_ms,int64,60120,0,0.0,0
dst2src_packets,int64,60120,0,0.0,0
dst2src_bytes,int64,60120,0,0.0,0
bidirectional_min_ps,int64,60120,0,0.0,66
bidirectional_mean_ps,float64,60120,0,0.0,66.0
bidirectional_stddev_ps,float64,60120,0,0.0,0.0
bidirectional_max_ps,int64,60120,0,0.0,66
src2dst_min_ps,int64,60120,0,0.0,66
src2dst_mean_ps,float64,60120,0,0.0,66.0
src2dst_stddev_ps,float64,60120,0,0.0,0.0
src2dst_max_ps,int64,60120,0,0.0,66
dst2src_min_ps,int64,60120,0,0.0,0
dst2src_mean_ps,float64,60120,0,0.0,0.0
dst2src_stddev_ps,float64,60120,0,0.0,0.0
dst2src_max_ps,int64,60120,0,0.0,0
bidirectional_min_piat_ms,int64,60120,0,0.0,0
bidirectional_mean_piat_ms,float64,60120,0,0.0,0.0
bidirectional_stddev_piat_ms,float64,60120,0,0.0,0.0
bidirectional_max_piat_ms,int64,60120,0,0.0,0
src2dst_min_piat_ms,int64,60120,0,0.0,0
src2dst_mean_piat_ms,float64,60120,0,0.0,0.0
src2dst_stddev_piat_ms,float64,60120,0,0.0,0.0
src2dst_max_piat_ms,int64,60120,0,0.0,0
dst2src_min_piat_ms,int64,60120,0,0.0,0
dst2src_mean_piat_ms,float64,60120,0,0.0,0.0
dst2src_stddev_piat_ms,float64,60120,0,0.0,0.0
dst2src_max_piat_ms,int64,60120,0,0.0,0
bidirectional_syn_packets,int64,60120,0,0.0,0
bidirectional_cwr_packets,int64,60120,0,0.0,0
bidirectional_ece_packets,int64,60120,0,0.0,0
bidirectional_urg_packets,int64,60120,0,0.0,0
bidirectional_ack_packets,int64,60120,0,0.0,0
bidirectional_psh_packets,int64,60120,0,0.0,0
bidirectional_rst_packets,int64,60120,0,0.0,0
bidirectional_fin_packets,int64,60120,0,0.0,0
src2dst_syn_packets,int64,60120,0,0.0,0
src2dst_cwr_packets,int64,60120,0,0.0,0
src2dst_ece_packets,int64,60120,0,0.0,0
src2dst_urg_packets,int64,60120,0,0.0,0
src2dst_ack_packets,int64,60120,0,0.0,0
src2dst_psh_packets,int64,60120,0,0.0,0
src2dst_rst_packets,int64,60120,0,0.0,0
src2dst_fin_packets,int64,60120,0,0.0,0
dst2src_syn_packets,int64,60120,0,0.0,0
dst2src_cwr_packets,int64,60120,0,0.0,0
dst2src_ece_packets,int64,60120,0,0.0,0
dst2src_urg_packets,int64,60120,0,0.0,0
dst2src_ack_packets,int64,60120,0,0.0,0
dst2src_psh_packets,int64,60120,0,0.0,0
dst2src_rst_packets,int64,60120,0,0.0,0
dst2src_fin_packets,int64,60120,0,0.0,0
splt_direction,object,60120,0,0.0,"[0, 0, -1, -1, -1, -1, -1, -1, -1, -1]"
splt_ps,object,60120,0,0.0,"[66, 66, -1, -1, -1, -1, -1, -1, -1, -1]"
splt_piat_ms,object,60120,0,0.0,"[0, 0, -1, -1, -1, -1, -1, -1, -1, -1]"
application_name,object,60120,0,0.0,Unknown
application_category_name,object,60120,0,0.0,Unspecified
application_is_guessed,int64,60120,0,0.0,0
application_confidence,int64,60120,0,0.0,0
requested_server_name,object,60,60060,99.9,server
client_fingerprint,float64,0,60120,100.0,
server_fingerprint,float64,0,60120,100.0,
user_agent,float64,0,60120,100.0,
content_type,float64,0,60120,100.0,
pcap_file,object,60120,0,0.0,syn_scan_week1_final.pcap
pcap_path,object,60120,0,0.0,data/interim/nfstream_compatible/syn_scan/syn_scan_week1_final.pcap
label,object,60120,0,0.0,syn_scan
is_smoke_test,bool,60120,0,0.0,False
