feature,lower_q,upper_q,lower_value,upper_value,n_clipped_low,n_clipped_high,n_clipped_total,pct_clipped_total
bidirectional_duration_ms,0.01,0.99,0.0,1.0,0,223,223,0.2768
bidirectional_packets,0.01,0.99,1.0,2.0,0,615,615,0.7633
bidirectional_bytes,0.01,0.99,42.0,154.0,0,777,777,0.9644
src2dst_packets,0.01,0.99,1.0,1.0,0,775,775,0.9619
dst2src_packets,0.01,0.99,0.0,1.0,0,424,424,0.5262
src2dst_bytes,0.01,0.99,42.0,112.0,0,633,633,0.7856
dst2src_bytes,0.01,0.99,0.0,54.0,0,729,729,0.9048
bidirectional_mean_ps,0.01,0.99,42.0,81.5,0,803,803,0.9966
bidirectional_syn_packets,0.01,0.99,0.0,1.0,0,605,605,0.7509
bidirectional_ack_packets,0.01,0.99,0.0,1.0,0,422,422,0.5238
bidirectional_rst_packets,0.01,0.99,0.0,1.0,0,0,0,0.0
bidirectional_fin_packets,0.01,0.99,0.0,0.0,0,420,420,0.5213
bidirectional_psh_packets,0.01,0.99,0.0,0.0,0,422,422,0.5238
bytes_asymmetry_ratio,0.01,0.99,1.0727272727272728,43.0,419,727,1146,1.4223
packets_asymmetry_ratio,0.01,0.99,1.0,2.0,101,176,277,0.3438
bidirectional_packets_per_ms,0.01,0.99,1.0,2.0,66,547,613,0.7608
bytes_per_packet,0.01,0.99,42.0,81.5,0,803,803,0.9966
syn_ack_ratio_nfstream,0.01,0.99,1.0,1.0,422,183,605,0.7509
manual_packet_count,0.01,0.99,1.0,2.0,2,614,616,0.7645
iat_mean_ms,0.01,0.99,0.0069141387939453,0.08767975701226247,10,806,816,1.0128
iat_std_ms,0.01,0.99,0.0,0.0,0,614,614,0.7621
iat_cv,0.01,0.99,0.0,0.0,0,614,614,0.7621
rtt_estimate_ms,0.01,0.99,0.0269412994384765,0.0269412994384765,195,207,402,0.4989
tcp_window_min,0.01,0.99,0.0,0.0,0,413,413,0.5126
tcp_window_max,0.01,0.99,1024.0,1024.0,0,605,605,0.7509
tcp_window_mean,0.01,0.99,512.0,512.0,0,605,605,0.7509
tcp_window_var,0.01,0.99,262144.0,262144.0,0,605,605,0.7509
syn_ack_ratio_manual,0.01,0.99,1.0,1.0,422,183,605,0.7509
