feature,label,available,mean,median,std,min,max,null_pct
protocol,icmp_flood,True,16.737705,17.0,2.04859,1.0,17.0,0.0
protocol,normal,True,8.648352,6.0,5.475631,6.0,58.0,0.0
protocol,port_sweep,True,7.418605,6.0,3.977512,1.0,17.0,0.0
protocol,syn_scan,True,6.021956,6.0,0.490957,6.0,17.0,0.0
protocol,udp_scan,True,16.999192,17.0,0.113704,1.0,17.0,0.0
bidirectional_duration_ms,icmp_flood,True,9428.885246,0.0,73641.947936,0.0,575162.0,0.0
bidirectional_duration_ms,normal,True,11.824176,1.0,35.937436,0.0,543.0,0.0
bidirectional_duration_ms,port_sweep,True,129.44186,0.0,844.124858,0.0,5536.0,0.0
bidirectional_duration_ms,syn_scan,True,0.01487,0.0,0.121035,0.0,1.0,0.0
bidirectional_duration_ms,udp_scan,True,28.958184,0.0,4074.560759,0.0,573356.0,0.0
bidirectional_packets,icmp_flood,True,94982.196721,1.0,741826.86091,1.0,5793854.0,0.0
bidirectional_packets,normal,True,53.761905,10.0,194.643598,1.0,2453.0,0.0
bidirectional_packets,port_sweep,True,24.627907,2.0,58.620662,2.0,306.0,0.0
bidirectional_packets,syn_scan,True,2.002994,2.0,0.054636,2.0,3.0,0.0
bidirectional_packets,udp_scan,True,1.01611,1.0,1.841385,1.0,260.0,0.0
bidirectional_bytes,icmp_flood,True,3989286.688525,88.0,31156723.676925,66.0,243341868.0,0.0
bidirectional_bytes,normal,True,1005387.003663,1241.0,5307160.403595,150.0,52590714.0,0.0
bidirectional_bytes,port_sweep,True,2040.0,112.0,5022.283644,112.0,26316.0,0.0
bidirectional_bytes,syn_scan,True,112.235529,112.0,3.489451,112.0,170.0,0.0
bidirectional_bytes,udp_scan,True,44.361396,42.0,131.638005,42.0,18494.0,0.0
src2dst_packets,icmp_flood,True,47491.590164,1.0,370913.366436,1.0,2896927.0,0.0
src2dst_packets,normal,True,31.663004,6.0,131.533621,1.0,1600.0,0.0
src2dst_packets,port_sweep,True,23.790698,1.0,58.950568,1.0,306.0,0.0
src2dst_packets,syn_scan,True,1.00499,1.0,0.070464,1.0,2.0,0.0
src2dst_packets,udp_scan,True,1.01409,1.0,1.699035,1.0,240.0,0.0
dst2src_packets,icmp_flood,True,47490.606557,0.0,370913.494473,0.0,2896927.0,0.0
dst2src_packets,normal,True,22.098901,4.0,63.999551,0.0,853.0,0.0
dst2src_packets,port_sweep,True,0.837209,1.0,0.373544,0.0,1.0,0.0
dst2src_packets,syn_scan,True,0.998004,1.0,0.044632,0.0,1.0,0.0
dst2src_packets,udp_scan,True,0.00202,0.0,0.14563,0.0,20.0,0.0
src2dst_bytes,icmp_flood,True,1994681.213115,88.0,15578356.909045,66.0,121670934.0,0.0
src2dst_bytes,normal,True,834097.681319,594.0,5301201.411225,96.0,52534408.0,0.0
src2dst_bytes,port_sweep,True,1994.511628,58.0,5040.123493,58.0,26316.0,0.0
src2dst_bytes,syn_scan,True,58.331337,58.0,4.825331,58.0,154.0,0.0
src2dst_bytes,udp_scan,True,44.224029,42.0,120.017012,42.0,16854.0,0.0
dst2src_bytes,icmp_flood,True,1994605.47541,0.0,15578366.767881,0.0,121670934.0,0.0
dst2src_bytes,normal,True,171289.322344,767.0,551695.458144,0.0,2103105.0,0.0
dst2src_bytes,port_sweep,True,45.488372,54.0,20.321666,0.0,58.0,0.0
dst2src_bytes,syn_scan,True,53.904192,54.0,2.420575,0.0,58.0,0.0
dst2src_bytes,udp_scan,True,0.137367,0.0,11.779854,0.0,1640.0,0.0
bytes_asymmetry_ratio,icmp_flood,True,76.737705,67.0,14.771483,1.0,89.0,0.0
bytes_asymmetry_ratio,normal,True,75.714061,0.94358,246.4668,0.000859,2120.865543,0.0
bytes_asymmetry_ratio,port_sweep,True,1943.305715,1.072727,5060.605136,1.072727,26317.0,0.0
bytes_asymmetry_ratio,syn_scan,True,1.360534,1.072727,6.398152,1.072727,155.0,0.0
bytes_asymmetry_ratio,udp_scan,True,44.318785,43.0,11.578623,1.0,235.0,0.0
packets_asymmetry_ratio,icmp_flood,True,1.983607,2.0,0.128037,1.0,2.0,0.0
packets_asymmetry_ratio,normal,True,1.172621,1.106686,0.337724,0.5625,5.0,0.0
packets_asymmetry_ratio,port_sweep,True,23.918605,1.0,59.294356,1.0,307.0,0.0
packets_asymmetry_ratio,syn_scan,True,1.005489,1.0,0.093287,1.0,3.0,0.0
packets_asymmetry_ratio,udp_scan,True,2.001489,2.0,0.086968,1.0,11.47619,0.0
bidirectional_mean_ps,icmp_flood,True,76.42623,66.0,11.877793,42.0,88.0,0.0
bidirectional_mean_ps,normal,True,3952.444731,112.5,7599.526704,79.543478,37780.486317,0.0
bidirectional_mean_ps,port_sweep,True,60.70179,56.0,10.667723,56.0,86.0,0.0
bidirectional_mean_ps,syn_scan,True,56.032934,56.0,0.734966,56.0,77.0,0.0
bidirectional_mean_ps,udp_scan,True,43.232015,42.0,10.658561,42.0,234.0,0.0
bidirectional_syn_packets,icmp_flood,True,0.0,0.0,0.0,0.0,0.0,0.0
bidirectional_syn_packets,normal,True,1.545788,2.0,0.838692,0.0,2.0,0.0
bidirectional_syn_packets,port_sweep,True,0.906977,1.0,0.478786,0.0,2.0,0.0
bidirectional_syn_packets,syn_scan,True,1.000998,1.0,0.070634,0.0,2.0,0.0
bidirectional_syn_packets,udp_scan,True,0.0,0.0,0.0,0.0,0.0,0.0
bidirectional_ack_packets,icmp_flood,True,0.0,0.0,0.0,0.0,0.0,0.0
bidirectional_ack_packets,normal,True,52.532967,9.0,194.705008,0.0,2452.0,0.0
bidirectional_ack_packets,port_sweep,True,0.837209,1.0,0.373544,0.0,1.0,0.0
bidirectional_ack_packets,syn_scan,True,0.998004,1.0,0.044632,0.0,1.0,0.0
bidirectional_ack_packets,udp_scan,True,0.0,0.0,0.0,0.0,0.0,0.0
bidirectional_rst_packets,icmp_flood,True,0.0,0.0,0.0,0.0,0.0,0.0
bidirectional_rst_packets,normal,True,0.0,0.0,0.0,0.0,0.0,0.0
bidirectional_rst_packets,port_sweep,True,0.837209,1.0,0.373544,0.0,1.0,0.0
bidirectional_rst_packets,syn_scan,True,0.998004,1.0,0.044632,0.0,1.0,0.0
bidirectional_rst_packets,udp_scan,True,0.0,0.0,0.0,0.0,0.0,0.0
bidirectional_fin_packets,icmp_flood,True,0.0,0.0,0.0,0.0,0.0,0.0
bidirectional_fin_packets,normal,True,1.53663,2.0,0.845677,0.0,3.0,0.0
bidirectional_fin_packets,port_sweep,True,0.0,0.0,0.0,0.0,0.0,0.0
bidirectional_fin_packets,syn_scan,True,0.0,0.0,0.0,0.0,0.0,0.0
bidirectional_fin_packets,udp_scan,True,0.0,0.0,0.0,0.0,0.0,0.0
bidirectional_psh_packets,icmp_flood,True,0.0,0.0,0.0,0.0,0.0,0.0
bidirectional_psh_packets,normal,True,30.608059,2.0,130.422237,0.0,1596.0,0.0
bidirectional_psh_packets,port_sweep,True,0.0,0.0,0.0,0.0,0.0,0.0
bidirectional_psh_packets,syn_scan,True,0.0,0.0,0.0,0.0,0.0,0.0
bidirectional_psh_packets,udp_scan,True,0.0,0.0,0.0,0.0,0.0,0.0
syn_ack_ratio,icmp_flood,True,,,,,,100.0
syn_ack_ratio,normal,True,0.133332,0.181818,0.090167,0.000816,0.222222,22.711
syn_ack_ratio,port_sweep,True,1.083333,1.0,0.280306,1.0,2.0,16.279
syn_ack_ratio,syn_scan,True,1.003,1.0,0.05469,1.0,2.0,0.2
syn_ack_ratio,udp_scan,True,,,,,,100.0
bidirectional_packets_per_ms,icmp_flood,True,1.148745,1.0,1.161734,1.0,10.07343,0.0
bidirectional_packets_per_ms,normal,True,11.192846,10.0,12.508398,0.007366,105.0,0.0
bidirectional_packets_per_ms,port_sweep,True,5.424541,2.0,9.079234,0.055275,37.666667,0.0
bidirectional_packets_per_ms,syn_scan,True,2.002994,2.0,0.054636,2.0,3.0,0.0
bidirectional_packets_per_ms,udp_scan,True,1.002708,1.0,0.054936,0.000453,2.0,0.0
