rank_test_score,mean_test_score,std_test_score,mean_train_score,std_train_score,param_n_estimators,param_max_depth,param_min_samples_split,param_max_features
1,0.9519055798682692,0.025380387896216997,0.9766602763530683,0.004121795010324233,200,,5,sqrt
1,0.9519055798682692,0.025380387896216997,0.9766602763530683,0.004121795010324233,200,,10,log2
1,0.9519055798682692,0.025380387896216997,0.9766602763530683,0.004121795010324233,200,20,10,sqrt
1,0.9519055798682692,0.025380387896216997,0.9766602763530683,0.004121795010324233,200,10,5,log2
1,0.9519055798682692,0.025380387896216997,0.9766602763530683,0.004121795010324233,200,,10,sqrt
1,0.9519055798682692,0.025380387896216997,0.9766602763530683,0.004121795010324233,200,10,10,sqrt
7,0.9498163336383536,0.023965163286519934,0.976830341981975,0.0034697609820601486,50,20,5,log2
7,0.9498163336383536,0.023965163286519934,0.976830341981975,0.0034697609820601486,50,,5,log2
9,0.9498148792409831,0.023963711281202844,0.9768629746534312,0.003999578168756252,100,,5,sqrt
9,0.9498148792409831,0.023963711281202844,0.9762260811258028,0.00350400022308006,100,20,10,log2
9,0.9498148792409831,0.023963711281202844,0.9768629746534312,0.003999578168756252,100,20,5,log2
9,0.9498148792409831,0.023963711281202844,0.9768629746534312,0.003999578168756252,100,,5,log2
9,0.9498148792409831,0.023963711281202844,0.9762260811258028,0.00350400022308006,100,10,10,log2
14,0.9471764672421447,0.024388511845891952,0.9818014558262979,0.0028620189371559787,100,10,2,sqrt
14,0.9471764672421447,0.024388511845891952,0.9818014558262979,0.0028620189371559787,100,20,2,sqrt
16,0.9464394206962234,0.02382304382712422,0.9761413268206262,0.003654825386711845,50,,5,sqrt
16,0.9464394206962234,0.02382304382712422,0.9755370659644538,0.0035726509926729,50,,10,sqrt
16,0.9464394206962234,0.02382304382712422,0.9755370659644538,0.0035726509926729,50,10,10,sqrt
16,0.9464394206962234,0.02382304382712422,0.9755370659644538,0.0035726509926729,50,10,10,log2
20,0.9426987436281591,0.027515722169664213,0.9812791104886674,0.0025327577118503036,50,20,2,log2
